"simulation","method","accuracy","prob_accuracy","tree_size"
1,"ACE",0.958515283842795,0.917454451200204,917
1,"SIMMAP",0.962882096069869,0.917227074235808,917
1,"SAASI",0.965065502183406,0.951102082539801,917
1,"SAASI_pars",0.967248908296943,0.926254012323292,917
1,"PastML",0.949781659388646,0.857955864258757,917
1,"TreeTime_1.0",0.96943231441048,0.938354263143064,917
1,"TreeTime_Custom",0.978165938864629,0.94784432247028,917
10,"ACE",0.930715935334873,0.866280698292962,867
10,"SIMMAP",0.933025404157044,0.869076212471132,867
10,"SAASI",0.97459584295612,0.947560254156851,867
10,"SAASI_pars",0.94919168591224,0.899711826412156,867
10,"PastML",0.903002309468822,0.777448398294555,867
10,"TreeTime_1.0",0.935334872979215,0.885360047195609,867
10,"TreeTime_Custom",0.939953810623557,0.910221658705531,867
100,"ACE",0.94559585492228,0.923009877633667,773
100,"SIMMAP",0.948186528497409,0.921891191709845,773
100,"SAASI",0.974093264248705,0.957379576600035,773
100,"SAASI_pars",0.958549222797927,0.931892938332167,773
100,"PastML",0.94300518134715,0.905211555303276,773
100,"TreeTime_1.0",0.953367875647668,0.934505311499628,773
100,"TreeTime_Custom",0.950777202072539,0.938844507458241,773
1000,"ACE",0.937810945273632,0.888663115566136,805
1000,"SIMMAP",0.940298507462687,0.893283582089552,805
1000,"SAASI",0.972636815920398,0.953205883436045,805
1000,"SAASI_pars",0.970149253731343,0.922954939246571,805
1000,"PastML",0.907960199004975,0.817066926251113,805
1000,"TreeTime_1.0",0.925373134328358,0.862240224420499,805
1000,"TreeTime_Custom",0.935323383084577,0.885619324241291,805
101,"ACE",0.942528735632184,0.883729813809006,871
101,"SIMMAP",0.942528735632184,0.886574712643678,871
101,"SAASI",0.95632183908046,0.939264877223994,871
101,"SAASI_pars",0.951724137931034,0.904285706277951,871
101,"PastML",0.91264367816092,0.815543965937091,871
101,"TreeTime_1.0",0.960919540229885,0.926293394547524,871
101,"TreeTime_Custom",0.960919540229885,0.936494050981875,871
102,"ACE",0.954314720812183,0.902262386677829,789
102,"SIMMAP",0.954314720812183,0.904162436548223,789
102,"SAASI",0.964467005076142,0.953915824620832,789
102,"SAASI_pars",0.961928934010152,0.922896900778316,789
102,"PastML",0.913705583756345,0.811407001155106,789
102,"TreeTime_1.0",0.956852791878173,0.914861939780187,789
102,"TreeTime_Custom",0.956852791878173,0.926230417676706,789
103,"ACE",0.918269230769231,0.855665027095189,833
103,"SIMMAP",0.913461538461538,0.853918269230769,833
103,"SAASI",0.949519230769231,0.934100283076015,833
103,"SAASI_pars",0.932692307692308,0.888363536836276,833
103,"PastML",0.889423076923077,0.798976930284451,833
103,"TreeTime_1.0",0.939903846153846,0.905348879895794,833
103,"TreeTime_Custom",0.939903846153846,0.915238689938649,833
104,"ACE",0.957683741648107,0.915281190884972,899
104,"SIMMAP",0.968819599109131,0.922806236080178,899
104,"SAASI",0.964365256124722,0.947596610575799,899
104,"SAASI_pars",0.957683741648107,0.926212392127926,899
104,"PastML",0.944320712694877,0.89956558955674,899
104,"TreeTime_1.0",0.959910913140312,0.933984203760451,899
104,"TreeTime_Custom",0.959910913140312,0.94223452003523,899
106,"ACE",0.974056603773585,0.913839182005324,849
106,"SIMMAP",0.976415094339623,0.915259433962264,849
106,"SAASI",0.966981132075472,0.953945811410582,849
106,"SAASI_pars",0.966981132075472,0.925528763188116,849
106,"PastML",0.908018867924528,0.829617820763713,849
106,"TreeTime_1.0",0.97877358490566,0.957518658739372,849
106,"TreeTime_Custom",0.981132075471698,0.964482071637154,849
107,"ACE",0.952789699570815,0.900778329280908,933
107,"SIMMAP",0.954935622317597,0.912317596566524,933
107,"SAASI",0.978540772532189,0.959747594419511,933
107,"SAASI_pars",0.98068669527897,0.942213543436629,933
107,"PastML",0.879828326180258,0.823398905433439,933
107,"TreeTime_1.0",0.952789699570815,0.900308734398739,933
107,"TreeTime_Custom",0.957081545064378,0.918614081451278,933
108,"ACE",0.955223880597015,0.914939823205978,939
108,"SIMMAP",0.959488272921109,0.914754797441365,939
108,"SAASI",0.968017057569296,0.951708721785501,939
108,"SAASI_pars",0.96588486140725,0.934770779519451,939
108,"PastML",0.959488272921109,0.922251624043141,939
108,"TreeTime_1.0",0.959488272921109,0.946952105974458,939
108,"TreeTime_Custom",0.959488272921109,0.951361845160545,939
109,"ACE",0.936339522546419,0.899634931925642,755
109,"SIMMAP",0.944297082228117,0.905092838196286,755
109,"SAASI",0.952254641909814,0.935438843933692,755
109,"SAASI_pars",0.941644562334218,0.912471856653231,755
109,"PastML",0.920424403183024,0.870243357897858,755
109,"TreeTime_1.0",0.949602122015915,0.924263820779632,755
109,"TreeTime_Custom",0.946949602122016,0.929728234180575,755
11,"ACE",0.934426229508197,0.892110019454984,855
11,"SIMMAP",0.939110070257611,0.896276346604215,855
11,"SAASI",0.976580796252927,0.956805137252418,855
11,"SAASI_pars",0.969555035128806,0.921256349441153,855
11,"PastML",0.850117096018735,0.777051311618302,855
11,"TreeTime_1.0",0.934426229508197,0.890764122062653,855
11,"TreeTime_Custom",0.936768149882904,0.909702989263122,855
110,"ACE",0.95343137254902,0.90460152782742,817
110,"SIMMAP",0.958333333333333,0.908235294117647,817
110,"SAASI",0.965686274509804,0.947494609397268,817
110,"SAASI_pars",0.958333333333333,0.921784791200455,817
110,"PastML",0.931372549019608,0.856189796681162,817
110,"TreeTime_1.0",0.96078431372549,0.931087378250355,817
110,"TreeTime_Custom",0.963235294117647,0.940626449695957,817
111,"ACE",0.965596330275229,0.925083618354953,873
111,"SIMMAP",0.963302752293578,0.924610091743119,873
111,"SAASI",0.970183486238532,0.952666801470265,873
111,"SAASI_pars",0.963302752293578,0.934343782685304,873
111,"PastML",0.963302752293578,0.921296512906859,873
111,"TreeTime_1.0",0.972477064220184,0.956610411924214,873
111,"TreeTime_Custom",0.972477064220184,0.959021341256266,873
112,"ACE",0.941326530612245,0.899448860636208,785
112,"SIMMAP",0.943877551020408,0.898622448979592,785
112,"SAASI",0.982142857142857,0.960735415982219,785
112,"SAASI_pars",0.961734693877551,0.922905195663631,785
112,"PastML",0.928571428571429,0.841523164436206,785
112,"TreeTime_1.0",0.941326530612245,0.907333545598425,785
112,"TreeTime_Custom",0.941326530612245,0.917488026553217,785
113,"ACE",0.942992874109264,0.88902004340828,843
113,"SIMMAP",0.957244655581948,0.892256532066508,843
113,"SAASI",0.97624703087886,0.956703387473137,843
113,"SAASI_pars",0.959619952494062,0.90721954950523,843
113,"PastML",0.914489311163896,0.782735627892122,843
113,"TreeTime_1.0",0.947743467933492,0.900702386780517,843
113,"TreeTime_Custom",0.954869358669834,0.919592872173067,843
114,"ACE",0.91647855530474,0.872438864344365,887
114,"SIMMAP",0.920993227990971,0.874018058690745,887
114,"SAASI",0.945823927765237,0.930875615520212,887
114,"SAASI_pars",0.939051918735892,0.907113958843711,887
114,"PastML",0.875846501128668,0.801373495883794,887
114,"TreeTime_1.0",0.923250564334086,0.894468554580481,887
114,"TreeTime_Custom",0.923250564334086,0.902456314175586,887
115,"ACE",0.956873315363881,0.892410674814087,743
115,"SIMMAP",0.948787061994609,0.894716981132075,743
115,"SAASI",0.973045822102426,0.954217213633413,743
115,"SAASI_pars",0.967654986522911,0.919141252239826,743
115,"PastML",0.932614555256065,0.84508640162179,743
115,"TreeTime_1.0",0.973045822102426,0.941974168084721,743
115,"TreeTime_Custom",0.964959568733154,0.947030256970138,743
117,"ACE",0.828715365239295,0.795516828903996,795
117,"SIMMAP",0.836272040302267,0.795138539042821,795
117,"SAASI",0.949622166246851,0.92736238601699,795
117,"SAASI_pars",0.926952141057935,0.874469614837716,795
117,"PastML",0.806045340050378,0.727776611821093,795
117,"TreeTime_1.0",0.826196473551637,0.783426141399418,795
117,"TreeTime_Custom",0.83375314861461,0.809227448917357,795
118,"ACE",0.928571428571429,0.880847851050325,757
118,"SIMMAP",0.933862433862434,0.883201058201058,757
118,"SAASI",0.941798941798942,0.926156827015362,757
118,"SAASI_pars",0.928571428571429,0.894980814174457,757
118,"PastML",0.873015873015873,0.80553474578457,757
118,"TreeTime_1.0",0.939153439153439,0.894343349263984,757
118,"TreeTime_Custom",0.936507936507937,0.904495989853559,757
119,"ACE",0.951002227171492,0.877586839553378,899
119,"SIMMAP",0.942093541202673,0.882360801781737,899
119,"SAASI",0.957683741648107,0.942506090588957,899
119,"SAASI_pars",0.948775055679287,0.900785242751856,899
119,"PastML",0.910913140311804,0.811768525071743,899
119,"TreeTime_1.0",0.962138084632517,0.903664283906537,899
119,"TreeTime_Custom",0.959910913140312,0.91777042461184,899
12,"ACE",0.914549653579677,0.88883009441431,867
12,"SIMMAP",0.914549653579677,0.888521939953811,867
12,"SAASI",0.939953810623557,0.930918816972347,867
12,"SAASI_pars",0.914549653579677,0.903833778007356,867
12,"PastML",0.909930715935335,0.851162802811568,867
12,"TreeTime_1.0",0.914549653579677,0.895153174211232,867
12,"TreeTime_Custom",0.919168591224019,0.903497537370735,867
120,"ACE",0.928934010152284,0.893515861814241,789
120,"SIMMAP",0.921319796954315,0.890659898477157,789
120,"SAASI",0.974619289340102,0.950714216783903,789
120,"SAASI_pars",0.951776649746193,0.910736763286427,789
120,"PastML",0.903553299492386,0.821926905877094,789
120,"TreeTime_1.0",0.946700507614213,0.916262390936117,789
120,"TreeTime_Custom",0.954314720812183,0.929084767893759,789
121,"ACE",0.933823529411765,0.879894108733782,817
121,"SIMMAP",0.931372549019608,0.877769607843137,817
121,"SAASI",0.970588235294118,0.949709861209585,817
121,"SAASI_pars",0.95343137254902,0.906922018153719,817
121,"PastML",0.924019607843137,0.860647671182136,817
121,"TreeTime_1.0",0.948529411764706,0.919362791693283,817
121,"TreeTime_Custom",0.946078431372549,0.92606185141441,817
122,"ACE",0.868365180467091,0.784546173462168,943
122,"SIMMAP",0.859872611464968,0.783099787685775,943
122,"SAASI",0.932059447983015,0.911261155544664,943
122,"SAASI_pars",0.912951167728238,0.844662369069425,943
122,"PastML",0.832271762208068,0.73542259393214,943
122,"TreeTime_1.0",0.889596602972399,0.838313095232355,943
122,"TreeTime_Custom",0.898089171974522,0.865276342646943,943
123,"ACE",0.931758530183727,0.900183972358932,763
123,"SIMMAP",0.931758530183727,0.899737532808399,763
123,"SAASI",0.939632545931758,0.936721009515572,763
123,"SAASI_pars",0.94488188976378,0.914433137142613,763
123,"PastML",0.921259842519685,0.838644638493529,763
123,"TreeTime_1.0",0.937007874015748,0.909755261043875,763
123,"TreeTime_Custom",0.937007874015748,0.915971289330646,763
124,"ACE",0.87799043062201,0.81829551861494,837
124,"SIMMAP",0.899521531100478,0.82622009569378,837
124,"SAASI",0.949760765550239,0.928726922321284,837
124,"SAASI_pars",0.923444976076555,0.870745990067986,837
124,"PastML",0.870813397129187,0.81487291416755,837
124,"TreeTime_1.0",0.930622009569378,0.881664487277483,837
124,"TreeTime_Custom",0.935406698564593,0.904221199058271,837
125,"ACE",0.921052631578947,0.871366130534245,837
125,"SIMMAP",0.930622009569378,0.876626794258373,837
125,"SAASI",0.9688995215311,0.952342367970601,837
125,"SAASI_pars",0.944976076555024,0.900373892982329,837
125,"PastML",0.913875598086124,0.784116674531389,837
125,"TreeTime_1.0",0.937799043062201,0.890055688974665,837
125,"TreeTime_Custom",0.942583732057416,0.907154784562367,837
127,"ACE",0.936117936117936,0.902097862082067,815
127,"SIMMAP",0.948402948402948,0.902555282555283,815
127,"SAASI",0.975429975429975,0.962327185699662,815
127,"SAASI_pars",0.97051597051597,0.931667069239451,815
127,"PastML",0.901719901719902,0.797029868281171,815
127,"TreeTime_1.0",0.933660933660934,0.884894195558466,815
127,"TreeTime_Custom",0.938574938574939,0.900072316102914,815
128,"ACE",0.968058968058968,0.915011509597495,815
128,"SIMMAP",0.972972972972973,0.90997542997543,815
128,"SAASI",0.985257985257985,0.962332342029989,815
128,"SAASI_pars",0.977886977886978,0.926452075491102,815
128,"PastML",0.960687960687961,0.887071569520858,815
