"simulation","method","accuracy","prob_accuracy","tree_size"
1,"ACE",0.627906976744186,0.612750474678222,517
1,"SIMMAP",0.686046511627907,0.633410852713178,517
1,"SAASI",0.957364341085271,0.922956204261924,517
1,"SAASI_pars",0.922480620155039,0.793856904705875,517
1,"PastML",0.635658914728682,0.615412904633426,517
1,"TreeTime_1.0",0.693798449612403,0.672846232308093,517
1,"TreeTime_Custom",0.635658914728682,0.650001171255284,517
10,"ACE",0.48051948051948,0.548075610750191,463
10,"SIMMAP",0.510822510822511,0.567619047619048,463
10,"SAASI",0.935064935064935,0.919766590893674,463
10,"SAASI_pars",0.943722943722944,0.836393491407109,463
10,"PastML",0.515151515151515,0.575171888350682,463
10,"TreeTime_1.0",0.489177489177489,0.56239326300207,463
10,"TreeTime_Custom",0.445887445887446,0.488303892804416,463
100,"ACE",0.533333333333333,0.55718735807808,421
100,"SIMMAP",0.69047619047619,0.620857142857143,421
100,"SAASI",0.919047619047619,0.89234073347551,421
100,"SAASI_pars",0.895238095238095,0.823220650283083,421
100,"PastML",0.723809523809524,0.664291286788262,421
100,"TreeTime_1.0",0.495238095238095,0.532264385648553,421
100,"TreeTime_Custom",0.404761904761905,0.436436098077554,421
1000,"ACE",0.560975609756098,0.572074389173458,411
1000,"SIMMAP",0.64390243902439,0.577268292682927,411
1000,"SAASI",0.965853658536585,0.933527734673359,411
1000,"SAASI_pars",0.951219512195122,0.721342442304072,411
1000,"PastML",0.492682926829268,0.54780516922645,411
1000,"TreeTime_1.0",0.741463414634146,0.678408695154539,411
1000,"TreeTime_Custom",0.736585365853659,0.724160997475953,411
101,"ACE",0.714932126696833,0.650018203204678,443
101,"SIMMAP",0.755656108597285,0.672126696832579,443
101,"SAASI",0.945701357466063,0.91862563902302,443
101,"SAASI_pars",0.927601809954751,0.7901822118749,443
101,"PastML",0.710407239819005,0.661567821360705,443
101,"TreeTime_1.0",0.796380090497738,0.757679463306646,443
101,"TreeTime_Custom",0.782805429864253,0.78223444412094,443
102,"ACE",0.616216216216216,0.590372718014706,371
102,"SIMMAP",0.691891891891892,0.626756756756757,371
102,"SAASI",0.956756756756757,0.924407111615943,371
102,"SAASI_pars",0.945945945945946,0.836909458560633,371
102,"PastML",0.697297297297297,0.627096876775008,371
102,"TreeTime_1.0",0.74054054054054,0.684088651198652,371
102,"TreeTime_Custom",0.751351351351351,0.732698030642653,371
103,"ACE",0.534246575342466,0.55466378012375,439
103,"SIMMAP",0.607305936073059,0.575570776255708,439
103,"SAASI",0.908675799086758,0.884019289154049,439
103,"SAASI_pars",0.872146118721461,0.80323023565551,439
103,"PastML",0.698630136986301,0.614022160131082,439
103,"TreeTime_1.0",0.721461187214612,0.721516946046814,439
103,"TreeTime_Custom",0.707762557077626,0.704721123073457,439
104,"ACE",0.676348547717842,0.670285220835338,483
104,"SIMMAP",0.730290456431535,0.69701244813278,483
104,"SAASI",0.925311203319502,0.908484788023619,483
104,"SAASI_pars",0.908713692946058,0.865314152150078,483
104,"PastML",0.717842323651452,0.713960103804839,483
104,"TreeTime_1.0",0.717842323651452,0.715637009958924,483
104,"TreeTime_Custom",0.680497925311203,0.68413140246222,483
105,"ACE",0.664092664092664,0.655015044835221,519
105,"SIMMAP",0.691119691119691,0.666795366795367,519
105,"SAASI",0.942084942084942,0.919880467525347,519
105,"SAASI_pars",0.938223938223938,0.852141230660046,519
105,"PastML",0.760617760617761,0.70398183437111,519
105,"TreeTime_1.0",0.795366795366795,0.745755974009577,519
